Drive name:	MOTOR
Drive model:	ACS880-01-034A-5 (811)
Firmware:	AINF6 v2.90
Group	GroupName	Index	Name	Value	ValueName	Min	Max	Unit	
11	Standard DIO, FI, FO	59	Freq out 1 src max	1800		-32768	32767	NoUnit
11	Standard DIO, FI, FO	60	Freq out 1 at src min	0		0	16000	Hz
11	Standard DIO, FI, FO	61	Freq out 1 at src max	16000		0	16000	Hz
11	Standard DIO, FI, FO	81	DIO filter time	10		0.3	100	ms
12	Standard AI	1	AI tune	0	No action			NoUnit
12	Standard AI	3	AI supervision function	0	No action			NoUnit
12	Standard AI	4	AI supervision selection	0		0	65535	NoUnit
12	Standard AI	5	AI supervision force	0		0	65535	NoUnit
12	Standard AI	11	AI1 actual value	-0.045		-22	22	mA
12	Standard AI	12	AI1 scaled value	0.542		-32768	32767	NoUnit
12	Standard AI	15	AI1 unit selection	10	mA			NoUnit
12	Standard AI	16	AI1 filter time	0.1		0	30	s
12	Standard AI	17	AI1 min	-0.046		-22	22	mA
12	Standard AI	18	AI1 max	19.94		-22	22	mA
12	Standard AI	19	AI1 scaled at AI1 min	0		-32768	32767	NoUnit
12	Standard AI	20	AI1 scaled at AI1 max	9999.999		-32768	32767	NoUnit
12	Standard AI	21	AI2 actual value	0.014		-22	22	mA
12	Standard AI	22	AI2 scaled value	0		-32768	32767	NoUnit
12	Standard AI	25	AI2 unit selection	10	mA			NoUnit
12	Standard AI	26	AI2 filter time	0.1		0	30	s
12	Standard AI	27	AI2 min	0.014		-22	22	mA
12	Standard AI	28	AI2 max	20.04		-22	22	mA
12	Standard AI	29	AI2 scaled at AI2 min	0		-32768	32767	NoUnit
12	Standard AI	30	AI2 scaled at AI2 max	177		-32768	32767	NoUnit
13	Standard AO	11	AO1 actual value	0		0	22	mA
13	Standard AO	12	AO1 source	1	Motor speed used	0	4294967295	NoUnit
13	Standard AO	16	AO1 filter time	0.1		0	30	s
13	Standard AO	17	AO1 source min	0		-32768	32767	NoUnit
13	Standard AO	18	AO1 source max	1800		-32768	32767	NoUnit
13	Standard AO	19	AO1 out at AO1 src min	0		0	22	mA
13	Standard AO	20	AO1 out at AO1 src max	20		0	22	mA
13	Standard AO	21	AO2 actual value	0		0	22	mA
13	Standard AO	22	AO2 source	4	Motor current	0	4294967295	NoUnit
13	Standard AO	26	AO2 filter time	0.1		0	30	s
13	Standard AO	27	AO2 source min	0		-32768	32767	NoUnit
13	Standard AO	28	AO2 source max	100		-32768	32767	NoUnit
13	Standard AO	29	AO2 out at AO2 src min	0		0	22	mA
13	Standard AO	30	AO2 out at AO2 src max	20		0	22	mA
13	Standard AO	91	AO1 data storage	0		-327.68	327.67	NoUnit
13	Standard AO	92	AO2 data storage	0		-327.68	327.67	NoUnit
14	I/O extension module 1	1	Module 1 type	0	None			NoUnit
14	I/O extension module 1	2	Module 1 location	1	Slot 1	1	254	NoUnit
14	I/O extension module 1	3	Module 1 status	0	No option			NoUnit
15	I/O extension module 2	1	Module 2 type	0	None			NoUnit
15	I/O extension module 2	2	Module 2 location	1	Slot 1	1	254	NoUnit
15	I/O extension module 2	3	Module 2 status	0	No option			NoUnit
16	I/O extension module 3	1	Module 3 type	0	None			NoUnit
16	I/O extension module 3	2	Module 3 location	1	Slot 1	1	254	NoUnit
16	I/O extension module 3	3	Module 3 status	0	No option			NoUnit
19	Operation mode	1	Actual operation mode	3	Torque			NoUnit
19	Operation mode	11	Ext1/Ext2 selection	2	FBA A MCW bit 11	0	4294967295	NoUnit
19	Operation mode	12	Ext1 control mode	2	Speed			NoUnit
19	Operation mode	14	Ext2 control mode	3	Torque			NoUnit
19	Operation mode	16	Local control mode	1	Torque			NoUnit
19	Operation mode	17	Local control disable	0	No			NoUnit
19	Operation mode	20	Scalar control reference unit	1	Rpm			NoUnit
20	Start/stop/direction	1	Ext1 commands	12	Fieldbus A			NoUnit
20	Start/stop/direction	2	Ext1 start trigger type	1	Level			NoUnit
20	Start/stop/direction	3	Ext1 in1 source	0	Not selected	0	4294967295	NoUnit
20	Start/stop/direction	4	Ext1 in2 source	0	Not selected	0	4294967295	NoUnit
20	Start/stop/direction	5	Ext1 in3 source	0	Not selected	0	4294967295	NoUnit
20	Start/stop/direction	6	Ext2 commands	12	Fieldbus A			NoUnit
20	Start/stop/direction	7	Ext2 start trigger type	1	Level			NoUnit
20	Start/stop/direction	8	Ext2 in1 source	0	Not selected	0	4294967295	NoUnit
20	Start/stop/direction	9	Ext2 in2 source	0	Not selected	0	4294967295	NoUnit
20	Start/stop/direction	10	Ext2 in3 source	0	Not selected	0	4294967295	NoUnit
20	Start/stop/direction	11	Run enable stop mode	0	Coast			NoUnit
20	Start/stop/direction	12	Run enable 1 source	33	DIIL	0	4294967295	NoUnit
20	Start/stop/direction	19	Enable start command	1	Selected	0	4294967295	NoUnit
20	Start/stop/direction	23	Positive speed enable	1	Selected	0	4294967295	NoUnit
20	Start/stop/direction	24	Negative speed enable	1	Selected	0	4294967295	NoUnit
20	Start/stop/direction	25	Jogging enable	0	Not selected	0	4294967295	NoUnit
20	Start/stop/direction	26	Jogging 1 start source	0	Not selected	0	4294967295	NoUnit
20	Start/stop/direction	27	Jogging 2 start source	0	Not selected	0	4294967295	NoUnit
20	Start/stop/direction	29	Local start trigger type	0	Edge			NoUnit
20	Start/stop/direction	30	Enable signals warning function	0		0	65535	NoUnit
21	Start/stop mode	1	Start mode	2	Automatic			NoUnit
21	Start/stop mode	2	Magnetization time	500		0	10000	ms
21	Start/stop mode	3	Stop mode	0	Coast			NoUnit
21	Start/stop mode	4	Emergency stop mode	0	Ramp stop (Off1)			NoUnit
21	Start/stop mode	5	Emergency stop source	1	Inactive (true)	0	4294967295	NoUnit
21	Start/stop mode	6	Zero speed limit	30		0	30000	rpm
21	Start/stop mode	7	Zero speed delay	0		0	30000	ms
21	Start/stop mode	8	DC current control	0		0	65535	NoUnit
21	Start/stop mode	9	DC hold speed	5		0	1000	rpm
21	Start/stop mode	10	DC current reference	30		0	100	%
21	Start/stop mode	11	Post magnetization time	0		0	3000	s
21	Start/stop mode	12	Continuous magnetization command	0	Off	0	4294967295	NoUnit
21	Start/stop mode	13	Autophasing mode	0	Turning			NoUnit
21	Start/stop mode	14	Pre-heating input source	0	Inactive (false)	0	4294967295	NoUnit
21	Start/stop mode	16	Pre-heating current	0		0	30	%
21	Start/stop mode	18	Auto restart time	5		0	5	s
21	Start/stop mode	19	Scalar start mode	0	Normal			NoUnit
21	Start/stop mode	20	Follower force ramp stop	0	Not selected	0	4294967295	NoUnit
22	Speed reference selection	1	Speed ref unlimited	0		-30000	30000	rpm
22	Speed reference selection	11	Speed ref1 source	4	FB A ref1	0	4294967295	NoUnit
22	Speed reference selection	12	Speed ref2 source	4	FB A ref1	0	4294967295	NoUnit
22	Speed reference selection	13	Speed ref1 function	0	Ref1			NoUnit
22	Speed reference selection	14	Speed ref1/2 selection	2	Follow Ext1/Ext2 selection	0	4294967295	NoUnit
22	Speed reference selection	15	Speed additive 1 source	0	Zero	0	4294967295	NoUnit
22	Speed reference selection	16	Speed share	1		-8	8	NoUnit
22	Speed reference selection	17	Speed additive 2 source	0	Zero	0	4294967295	NoUnit
22	Speed reference selection	21	Constant speed function	0		0	65535	NoUnit
22	Speed reference selection	22	Constant speed sel1	0	Not selected	0	4294967295	NoUnit
22	Speed reference selection	23	Constant speed sel2	0	Not selected	0	4294967295	NoUnit
22	Speed reference selection	24	Constant speed sel3	0	Not selected	0	4294967295	NoUnit
22	Speed reference selection	26	Constant speed 1	0		-30000	30000	rpm
22	Speed reference selection	27	Constant speed 2	0		-30000	30000	rpm
22	Speed reference selection	28	Constant speed 3	0		-30000	30000	rpm
22	Speed reference selection	29	Constant speed 4	0		-30000	30000	rpm
22	Speed reference selection	30	Constant speed 5	0		-30000	30000	rpm
22	Speed reference selection	31	Constant speed 6	0		-30000	30000	rpm
22	Speed reference selection	32	Constant speed 7	0		-30000	30000	rpm
22	Speed reference selection	41	Speed ref safe	0		-30000	30000	rpm
22	Speed reference selection	42	Jogging 1 ref	0		-30000	30000	rpm
22	Speed reference selection	43	Jogging 2 ref	0		-30000	30000	rpm
22	Speed reference selection	51	Critical speed function	0		0	65535	NoUnit
22	Speed reference selection	52	Critical speed 1 low	0		-30000	30000	rpm
22	Speed reference selection	53	Critical speed 1 high	0		-30000	30000	rpm
22	Speed reference selection	54	Critical speed 2 low	0		-30000	30000	rpm
22	Speed reference selection	55	Critical speed 2 high	0		-30000	30000	rpm
22	Speed reference selection	56	Critical speed 3 low	0		-30000	30000	rpm
22	Speed reference selection	57	Critical speed 3 high	0		-30000	30000	rpm
22	Speed reference selection	71	Motor potentiometer function	0	Disabled			NoUnit
22	Speed reference selection	72	Motor potentiometer initial value	0		-32768	32767	NoUnit
22	Speed reference selection	73	Motor potentiometer up source	0	Not selected	0	4294967295	NoUnit
22	Speed reference selection	74	Motor potentiometer down source	0	Not selected	0	4294967295	NoUnit
22	Speed reference selection	75	Motor potentiometer ramp time	60		0	3600	s
22	Speed reference selection	76	Motor potentiometer min value	-1500		-32768	32767	NoUnit
22	Speed reference selection	77	Motor potentiometer max value	1500		-32768	32767	NoUnit
22	Speed reference selection	80	Motor potentiometer ref act	0		-32768	32767	NoUnit
22	Speed reference selection	81	Speed reference act 1	0		-30000	30000	rpm
22	Speed reference selection	82	Speed reference act 2	0		-30000	30000	rpm
